CensusBlock     ReturnPeriodId TotalLoss
220710006063007 25             16
220710006063007 50             16
220710006063012 10             724
220710006063012 25             724
220710006063012 50             782
220710006063012 100            792
220710006063012 500            823
220710006063014 10             377
220710006063014 25             377
220710006063014 50             391
220710006063014 100            394
220710006063014 500            400
220710006063015 10             349
220710006063015 25             349
220710006063015 50             356
220710006063015 100            359
220710006063015 500            362
220710006063016 10             390
220710006063016 25             390
220710006063016 50             411
220710006063016 100            414
220710006063016 500            421
220710006063017 10             284
220710006063017 25             284
220710006063017 50             289
220710006063017 100            294
220710006063017 500            299
220710006063018 10             171
220710006063018 25             171
220710006063018 50             176
220710006063018 100            183
220710006063018 500            188
220710006063025 10             529
220710006063025 25             529
220710006063025 50             541
220710006063025 100            544
220710006063026 10             652
220710006063026 25             652
220710006063026 50             728
220710006063026 100            737
220710006063028 10             313
220710006063028 25             313
220710006063028 50             336
220710006063028 100            338
220710006063029 10             374
220710006063029 25             374
220710006063029 50             379
220710006063029 100            380
220710006063030 10             308
220710006063030 25             308
220710006063030 50             314
220710006063030 100            316
220710006063030 500            319
220710006071003 10             30
220710006071003 25             30
220710006071003 50             98
220710006071003 100            116
220710006071003 500            132
220710006071005 10             46
220710006071005 25             46
220710006071005 50             102
220710006071005 100            109
220710006071005 500            118
220710006071006 10             52
220710006071006 25             52
220710006071006 50             112
220710006071006 100            121
220710006071006 500            130
220710006071008 10             177
220710006071008 25             177
220710006071008 50             256
220710006071008 100            269
220710006071008 500            278
220710006071009 10             26
220710006071009 25             26
220710006071009 50             72
220710006071009 100            80
220710006071009 500            88
220710006071010 10             128
220710006071010 25             128
220710006071010 50             201
220710006071010 100            212
220710006071010 500            227
220710006071011 10             98
220710006071011 25             98
220710006071011 50             166
220710006071011 100            182
220710006071011 500            195
220710006071012 10             304
220710006071012 25             304
220710006071012 50             369
220710006071012 100            398
220710006071012 500            409
220710006071014 10             501
220710006071014 25             501
220710006071014 50             576
220710006071014 100            582
220710006071014 500            595
220710006071015 10             517
220710006071015 25             517
220710006071015 50             609
220710006071015 100            643
220710006071015 500            655
220710006071016 10             295
220710006071016 25             295
220710006071016 50             349
220710006071016 100            375
220710006071016 500            385
220710006071017 10             153
220710006071017 25             153
220710006071017 50             189
220710006071017 100            196
220710006071017 500            199
220710006071018 10             82
220710006071018 25             82
220710006071018 100            92
220710006071018 50             92
220710006071018 500            94
220710006071020 10             644
220710006071020 25             644
220710006071020 50             716
220710006071020 100            723
220710006071020 500            735
220710006071021 10             504
220710006071021 25             504
220710006071021 50             563
220710006071021 100            570
220710006071021 500            579
220710006071022 10             153
220710006071022 25             153
